"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[sampling site]"	"Sample Characteristic Ontology Term[sampling site]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Sample Characteristic[histology]"	"Sample Characteristic Ontology Term[histology]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[histology]"	"Factor Value Ontology Term[histology]"	"Factor Value[sampling site]"	"Factor Value Ontology Term[sampling site]"
"SRR2973391"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_14"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973392"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_17"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973393"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_19"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973394"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_20"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973395"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_21"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973396"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_23"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973397"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_25"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973398"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_26"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973399"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_27"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973400"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_28"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973401"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_31"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973402"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_32"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973403"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_34"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973404"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_35"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973405"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_37"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973406"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_38"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973407"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_42"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973408"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_44"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973409"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_47"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973410"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_48"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973411"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_49"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973412"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_50"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973413"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_51"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973414"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_53"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973415"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_56"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973416"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_57"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973417"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_61"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973418"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_62"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973419"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_63"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973420"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_64"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973421"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_65"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973422"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_68"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973423"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_69"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973424"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_70"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973425"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_71"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973426"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_72"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973427"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_73"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973428"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_77"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973429"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_78"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973430"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_79"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973431"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_85"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973432"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_87"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973433"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_89"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973434"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_91"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973435"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_93"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973436"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_95"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR2973437"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC07"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"triple-negative breast cancer"	"http://www.ebi.ac.uk/efo/EFO_0005537"	"BC07_01"		"triple-negative breast cancer"	"http://www.ebi.ac.uk/efo/EFO_0005537"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973438"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC07"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"triple-negative breast cancer"	"http://www.ebi.ac.uk/efo/EFO_0005537"	"BC07_03"		"triple-negative breast cancer"	"http://www.ebi.ac.uk/efo/EFO_0005537"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973439"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC07"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"triple-negative breast cancer"	"http://www.ebi.ac.uk/efo/EFO_0005537"	"BC07_04"		"triple-negative breast cancer"	"http://www.ebi.ac.uk/efo/EFO_0005537"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973440"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC07"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"triple-negative breast cancer"	"http://www.ebi.ac.uk/efo/EFO_0005537"	"BC07_06"		"triple-negative breast cancer"	"http://www.ebi.ac.uk/efo/EFO_0005537"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973441"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC07"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"triple-negative breast cancer"	"http://www.ebi.ac.uk/efo/EFO_0005537"	"BC07_08"		"triple-negative breast cancer"	"http://www.ebi.ac.uk/efo/EFO_0005537"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
